Amounts_due_to_Gov_t_and_SBV,Assets,Balances_with_SBV,Balances_with_and_loans_to_other_credit_institutions,Book_value_per_share_BVPS,CCE,COGS,Cap_Contribution_long_term_inv,Cap_Reserves,Cash_on_hand_gold_silver_gemstones,Cash_ratio,Charter_capital,Current_assets,Debt_to_equity,Deposits_and_borrowings_from_other_credit_institutions,Deposits_from_customers,Derivatives_other_fin_Liabi,Derivatives_other_fin_assets,EPS,E_L,Fin_Expenses,Financial_income,Fixed_assets,GP,G_A,Goodwill,Gross_insurance_operating_profit,Gross_profit_margin,Income_from_inv_in_other_entities,Interest_coverage,Inv_Properties,Inv_properties,Inv_securities,Inventories,L_E,Liabilities,Liabilities_to_assets,Liabilities_to_equity,Loans_adv_and_fin_leases_to_customers,Long_term_inv,Long_term_liabi,Long_term_rece,Mino_Interest,NII,NR,Net_PAT,Net_fee_and_commission_income,Net_other_income,Net_profit_from_sale_of_inv_Securities,Net_profit_from_trading_foreign_currencies_and_gold,Net_profit_from_trading_of_trading_securities,Net_profit_margin,Non_CA,Non_curr_assets,Operating_expense,Operating_profit,Operating_profit_before_provision_for_credit_losses,Other_CA,Other_Non_CR,Other_assets,Other_borrowed_funds,Other_liabi,Other_profit,Owner_s_equity,Owner_s_equity_,PAT_,PAT_for_SPC,PB,PBT,PE,PL_of_inv_In_AJV,PL_of_inv_in_AJV,Profit_from_fin_Act,Profit_from_insurance_operating,Provisions_for_credit_losses,RE,ROA,ROE,Reserves,Selling_expenses,Share_premium,Short_term_inv,Short_term_liabi,Short_term_ratio,Short_term_rece,Ticker,Total_NR,Total_assets,Total_direct_insurance_operating_expenses,Total_profit,Trading_securities,Trailing_EPS,Valuable_papers_issued
,,,,15262.0,373991.0,296699.0,,,,,442000.0,913323.0,36.7,,,,,1029.0,1086236.0,2798.0,3531.0,147754.0,103753.0,16668.0,,,25.91,,30.51,0.0,,,225416.0,,411673.0,37.9,,,0.0,2091.0,,0.0,,400452.0,51139.0,,,,,,12.77,,172913.0,,67706.0,,35808.0,,,,,-2900.0,,674563.0,,45468.0,1.55,64806.0,7.38,,0.0,,,,174147.0,4.33,7.01,,20111.0,10.0,53000.0,409581.0,2.23,225108.0,CSV_Q2_2016,,1086236.0,,,,3212.0,
,,,,12341.0,29728.0,,,,,0.04,1064366.0,2228387.0,,,,,,802.0,2364806.0,,,75480.0,135608.0,15793.0,,,71.32,,,,0.0,,0.0,,1051751.0,44.48,80.1,,0.0,253802.0,,0.0,,190137.0,85359.0,,,,,,44.89,136420.0,,,105561.0,,,,,,,27.0,1313055.0,,,85359.0,1.02,105588.0,6.67,0.0,,,,,181333.0,8.29,14.94,,,6179.0,0.0,797949.0,2.79,52682.0,CTS_Q4_2017,,2364806.0,,,,1880.0,
,,,,17005.0,32882.0,215247.0,,,,,92475.0,399703.0,192.55,,,,,0.0,527291.0,5482.0,431.0,123345.0,25796.0,3129.0,,,10.7,,3.84,0.0,,,245919.0,,370041.0,70.18,,,716.0,122652.0,,0.0,,241043.0,15591.0,,,,,,6.47,,127588.0,,13753.0,,8490.0,,,,,1838.0,,157250.0,,15591.0,12.23,15591.0,0.0,,0.0,,,,61494.0,3.01,10.43,,3863.0,3281.0,0.0,247389.0,1.62,112413.0,DRC_Q2_2007,,527291.0,,,,0.0,
,,,,15529.0,32964.0,225108.0,,,,,92475.0,361923.0,221.13,,,,,0.0,508313.0,6372.0,98.0,142034.0,33647.0,5059.0,,,13.0,,4.11,0.0,,,220207.0,,364706.0,71.75,,,716.0,133666.0,,0.0,,258755.0,17100.0,,,,,,6.61,,146391.0,,15783.0,,5578.0,,,,,1316.0,,143607.0,,17100.0,6.12,17100.0,0.0,,0.0,,,,45904.0,6.73,23.81,,6531.0,3281.0,0.0,231041.0,1.57,103174.0,DRC_Q3_2007,,508313.0,,,,0.0,
,,,,32082.0,16062.0,18438.0,,,,,107000.0,380245.0,22.36,,,,,5072.0,823873.0,0.0,8667.0,246479.0,5652.0,4717.0,,,23.46,,0.0,0.0,,,58500.0,,467117.0,56.7,,,183233.0,217250.0,,13480.0,,24089.0,54847.0,,,,,,227.69,,443628.0,,9601.0,,571.0,,,,,62939.0,,343276.0,,54273.0,1.54,72540.0,4.83,,0.0,,,,92990.0,6.59,16.79,,0.0,69279.0,231000.0,249867.0,1.52,74113.0,D2D_Q4_2009,,823873.0,,,,10236.0,
,,,,11509.0,23411.0,4204.0,,,,,95000.0,27250.0,0.0,,,,,-96.0,114835.0,0.0,456.0,87585.0,-905.0,464.0,,,-27.44,,0.0,0.0,,,998.0,,5496.0,4.79,,,0.0,0.0,,0.0,,3299.0,-913.0,,,,,,-27.69,,87585.0,,-913.0,,16.0,,,,,0.0,,109339.0,,-913.0,2.11,-913.0,9.04,,0.0,,,,11087.0,-0.72,-0.77,,0.0,0.0,0.0,5496.0,4.96,2825.0,DRL_Q2_2013,,114835.0,,,,2689.0,
,,,,15632.0,24607.0,314559.0,,,,,501361.0,1174211.0,84.17,,,,,0.0,1709053.0,12205.0,112.0,534780.0,50322.0,5969.0,,,13.79,,3.66,0.0,,,1016544.0,,925314.0,54.14,,,61.0,100331.0,,0.0,,364881.0,28827.0,,,,,,7.9,,534841.0,,30564.0,,43237.0,,,,,986.0,,783738.0,,28827.0,1.11,31551.0,4.04,,0.0,,,,159836.0,1.87,3.79,,1697.0,160852.0,3808.0,824984.0,1.42,86016.0,DTL_Q4_2010,,1709053.0,,,,4307.0,
18394173.0,0.0,1938307.0,25281894.0,15560.0,,,1174306.0,17509827.0,2442567.0,,,,,12693761.0,156690701.0,0.0,19165.0,0.0,,,,2800347.0,,,,,,754.0,,,0.0,45272599.0,,263811694.0,,,,175032633.0,,,,196209.0,2249395.0,,987733.0,316070.0,49050.0,-7069.0,125592.0,12403.0,,,,1293616.0,,1452578.0,,,9371668.0,25466010.0,23647321.0,,,,,984226.0,1.8,1171113.0,0.0,,,,,281465.0,,0.39,6.54,,,,,,,,CTG_Q2_2010,,263811694.0,,,478207.0,0.0,9213692.0
13718690.0,0.0,5300268.0,23842278.0,15097.0,,,1437349.0,16988991.0,2204061.0,,,,,14807836.0,148507411.0,144864.0,0.0,0.0,,,,2872583.0,,,,,,-64062.0,,,0.0,38707902.0,,245411855.0,,,,161658925.0,,,,207228.0,2471727.0,,754677.0,243518.0,15092.0,15258.0,-26361.0,4707.0,,,,2145793.0,,514086.0,,,9089454.0,16846881.0,25604698.0,,,,,752278.0,1.95,596271.0,0.0,,,,,-82185.0,,0.32,4.5,,,,,,,,CTG_Q3_2010,,245411855.0,,,299034.0,0.0,8585257.0
,,,,14478.0,43866.0,15394.0,,,,,84500.0,50166.0,0.0,,,,,2336.0,137001.0,3.0,1244.0,17358.0,29291.0,2287.0,,,65.55,,9986.76,0.0,,,455.0,,14659.0,10.7,,,69220.0,718.0,,0.0,,44685.0,19737.0,,,,,,44.17,,86835.0,,26178.0,,795.0,,,,,35.0,,122342.0,,19737.0,0.0,26213.0,0.0,,0.0,,,,33655.0,15.24,16.61,,2067.0,151.0,0.0,13941.0,3.6,5050.0,DSN_Q1_2011,,137001.0,,,,5318.0,
,,,,14672.0,69391.0,267556.0,,,,,366909.0,696540.0,103.17,,,,,1052.0,1403800.0,9242.0,165.0,704280.0,66860.0,10213.0,,,19.99,,6.23,0.0,,,550314.0,,859667.0,61.24,,,0.0,244742.0,,0.0,,334416.0,38591.0,,,,,,11.54,,707259.0,,46593.0,,25569.0,,,,,1589.0,,544132.0,,38591.0,1.9,48182.0,4.75,,0.0,,,,84059.0,2.85,6.9,,977.0,14877.0,0.0,614925.0,1.13,51265.0,CVT_Q1_2018,,1403800.0,,,,5872.0,
,,,,18872.0,861104.0,3202791.0,,,,,4065600.0,8265597.0,74.67,,,,,823.0,16448626.0,126835.0,218966.0,3727660.0,627608.0,171165.0,,,16.38,,5.17,236546.0,,,2131161.0,,8767875.0,53.3,,,1849173.0,3249019.0,,0.0,,3830398.0,417342.0,,,,,,10.9,,8183029.0,,474167.0,,49751.0,,,,,8376.0,,7680752.0,,334451.0,1.52,482543.0,9.21,,0.0,,,,676545.0,1.98,4.2,,95133.0,547112.0,1834797.0,5518856.0,1.5,3388785.0,GEX_Q4_2017,,16448626.0,,,,3122.0,
,,,,38026.0,48540.0,711358.0,,,,,307500.0,942261.0,0.0,,,,,0.0,1714823.0,-540.0,15970.0,219247.0,68043.0,18352.0,,,8.73,,0.0,75896.0,,,397652.0,,545534.0,31.81,,,302786.0,145657.0,,0.0,,779401.0,58225.0,,,,,,7.47,,772561.0,,66200.0,,42516.0,,,,,7212.0,,1169289.0,,58225.0,0.0,73412.0,0.0,,0.0,,,,180665.0,3.51,5.67,,0.0,446700.0,5486.0,399877.0,2.36,448068.0,CTD_Q1_2010,,1714823.0,,,,8286.0,
,,,,12394.0,57960.0,47289.0,,,,,150000.0,437193.0,162.92,,,,,0.0,652350.0,8710.0,11.0,204971.0,17384.0,5598.0,,,26.88,,1.11,0.0,,,156204.0,,425930.0,65.29,,,8307.0,125584.0,,40512.0,,64673.0,805.0,,,,,,1.24,,215157.0,,966.0,,14950.0,,,,,80.0,,185908.0,,805.0,0.0,936.0,0.0,,-111.0,,,,15523.0,0.13,0.43,,2120.0,8251.0,0.0,300346.0,1.46,208079.0,CTI_Q4_2010,,652350.0,,,,1003.0,
,,,,11927.0,2198.0,4134.0,,,,,183997.0,59891.0,11.26,,,,,32.0,252080.0,694.0,2971.0,2731.0,-34.0,1207.0,,,-0.83,,2.42,49791.0,,,0.0,,32628.0,12.94,,,139138.0,4050.0,,0.0,,4100.0,583.0,,,,,,14.23,,192189.0,,981.0,,5251.0,,,,,0.0,,219452.0,,583.0,0.63,981.0,7.31,,0.0,,,,20254.0,0.23,0.27,,54.0,14800.0,8289.0,28578.0,2.1,44153.0,DRH_Q2_2011,,252080.0,,,,1026.0,
